bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,32196,-0.10113001068495832,0.5282344332669671,0.7831603707616053,0.613340166331455,0.5667317967532561,0.3066700831657275,0.28336589837662807,0.13951580824443693,tanh_saturating,1,ALL,unweighted,,20,200
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,32264,-0.0432366819277136,0.5295739037672398,0.7851462697253097,0.6164546648635687,0.5872894439442253,0.30822733243178435,0.29364472197211267,0.14022425977563688,tanh_saturating,1,ALL,unweighted,,20,200
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,32292,-0.012973103981810424,0.543340622678743,0.8055568071835042,0.6489217695996814,0.6103029822020417,0.3244608847998407,0.30515149110102086,0.14760951612646206,tanh_saturating,1,ALL,unweighted,,20,200
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,32066,-0.0472249991633627,0.5485490486550684,0.8132788195360043,0.6614224383058767,0.6216050655481815,0.33071121915293833,0.31080253277409076,0.15045302939019028,tanh_saturating,1,ALL,unweighted,,20,200
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,32377,-0.017037699672855844,0.5854824698797765,0.8680363098437566,0.7534870352071662,0.680107394872024,0.3767435176035831,0.340053697436012,0.17139486126826167,tanh_saturating,1,ALL,unweighted,,20,200
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,32132,0.07995088251944762,0.5874971944298962,0.8710233404617641,0.7586816596291702,0.6845872277475118,0.3793408298145851,0.3422936138737559,0.17257647673149965,tanh_saturating,1,ALL,unweighted,,20,200
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,32375,0.1113742668280886,0.5794792985496735,0.8591360080297459,0.7381146802932875,0.7040664444670843,0.36905734014664376,0.35203322223354216,0.16789812872381082,tanh_saturating,1,ALL,unweighted,,20,200
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,31639,0.13736547185837666,0.5901605897094475,0.8749720903032269,0.7655761588095982,0.7193649314199259,0.3827880794047991,0.35968246570996293,0.17414476082310143,tanh_saturating,1,ALL,unweighted,,20,200
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,32830,0.1517057087045519,0.5828016811255283,0.8640617724367082,0.7466027465864657,0.7184075975454709,0.3733013732932329,0.35920379877273545,0.169828899761371,tanh_saturating,1,ALL,unweighted,,20,200
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,32243,0.16072227957443014,0.5621670330230326,0.8334688431599481,0.6946703125183821,0.7153575493555708,0.34733515625919104,0.3576787746777854,0.15801588650895973,tanh_saturating,1,ALL,unweighted,,20,200
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,32226,0.184094891177284,0.5349082066119177,0.7930549071228292,0.6289360857115993,0.6989705073471624,0.31446804285579966,0.3494852536735812,0.14306339475038904,tanh_saturating,1,ALL,unweighted,,20,200
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,32254,0.30852597437019513,0.46554066740346606,0.6902105934923788,0.47639066336910174,0.70902907590223,0.23819533168455087,0.354514537951115,0.1083640565032323,tanh_saturating,1,ALL,unweighted,,20,200
