subject,time,replica,pair_id,file,depth,fit_success,fit_message,n_total,n_tail,tail_fraction,gamma_hat,xmin_hat,ks_distance
9,4,2,9_4,9_4-2,2708156,True,ok,217807,1238,0.00568393118678463,2.4240289380846276,4.3572083735205804e-05,0.017828468144791
9,5,1,9_5,9_5-1,764002,True,ok,62855,236,0.0037546734547768672,2.400680694856109,0.00014397868068408197,0.03619815928858533
9,5,2,9_5,9_5-2,1328360,True,ok,81881,698,0.008524566138664648,2.554528030576852,7.076394953175344e-05,0.035136898381788156
9,6,1,9_6,9_6-1,2280082,True,ok,190584,1460,0.007660664064139697,2.435169122465847,3.771794172314855e-05,0.023972602739726026
9,6,2,9_6,9_6-2,3959872,True,ok,258923,1217,0.004700239067213032,2.4079539689483744,3.939521277455433e-05,0.018836355632984247
10,1,1,10_1,10_1-1,1462256,True,ok,138695,682,0.004917264501243736,2.469596518525556,5.197448326421639e-05,0.05089140981830961
10,1,2,10_1,10_1-2,1217362,True,ok,121088,707,0.005838728858350952,2.4558040922929285,5.257269407127871e-05,0.05356687537202359
10,2,1,10_2,10_2-1,1405132,True,ok,118625,597,0.005032665964172813,2.5151918735122782,5.408744516529408e-05,0.06043241166253932
10,2,2,10_2,10_2-2,1137148,True,ok,104112,478,0.0045912094667281385,2.407888064220943,6.155751054392217e-05,0.06658357587123753
10,3,1,10_3,10_3-1,1456984,True,ok,134920,616,0.004565668544322561,2.5295849158371153,5.490794682714429e-05,0.05059725977550478
10,3,2,10_3,10_3-2,1060916,True,ok,108576,378,0.0034814323607427057,2.44439323588532,7.72916988715412e-05,0.060327250081277706
10,4,1,10_4,10_4-1,946282,True,ok,96823,815,0.008417421480433368,2.515978405858107,5.283837164819789e-05,0.06791013323024853
10,4,2,10_4,10_4-2,885492,True,ok,91829,507,0.005521131668644982,2.368802626578005,7.001757215197878e-05,0.0665820921341369
10,5,1,10_5,10_5-1,725454,True,ok,62927,77,0.0012236400908989782,1.780688709602837,0.0002812032189497887,0.05943207455652588
10,5,2,10_5,10_5-2,622466,True,ok,56212,59,0.001049597950615527,1.7333892986574106,0.0003759241468610334,0.06846958598668862
10,6,1,10_6,10_6-1,734784,True,ok,74842,838,0.011196921514657546,2.6584512109878675,5.17158784078042e-05,0.08790142868881826
10,6,2,10_6,10_6-2,552982,True,ok,60679,687,0.011321874124491175,2.6272498894313214,6.14848222907798e-05,0.09353964109073909
